Table 1
,歲入來源別-罰款及賠償收入(百萬元),歲出政事別-社區發展及環境保護支出(百萬元),歲出政事別結構比-社區發展及環境保護支出(％),,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1364.15,4264.7,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,3055.67,12072.17,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,342.59,1646.75,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,546.51,1392.95,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,398.65,1358.39,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,763.32,353.2,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,346.16,551.66,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,456.68,343.16,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,290.12,279.7,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,724.7,1013.08,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,318.37,599.34,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,372.72,674.67,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,49.96,484.43,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,418.9,1054.77,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,336.64,1350.54,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,48.19,830.95,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,127.93,793.49,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,28.33,134.14,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,23703.07,69939.29,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,23649.21,68941.33,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4185.57,13593.33,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3522.9,14924.07,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2770.59,7334.02,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,3320.52,8326.47,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1558.75,4410.02,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2945.54,9424.32,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,352.34,1377.75,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,508.35,823.66,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,394.17,1273.8,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,803.77,690.13,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,385.18,477.82,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,447.77,328.12,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,234.18,329.38,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,792.91,746.16,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,353.53,456.5,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,305.16,405.81,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,27.35,766.43,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,303.25,865.46,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,376.55,1532.43,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,60.82,855.66,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,45.26,897.76,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,8.59,100.2,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,26518.11,71385.65,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,26412.65,70099.77,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4548.21,13579.35,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3679.39,14172.23,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,3062.14,7292.36,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,4178.32,9232.24,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1476.17,3880.25,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,3591.66,10970.93,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,397.91,1418.81,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,649.23,903,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,454.67,1184.76,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,972.34,584.58,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,365.25,506.71,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
