Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,歲出政事別結構比-社區發展及環境保護支出(％),year,環保罰鍰佔比(%),,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,8.6,2020,7.434,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,7.28,2020,2.579,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,5.54,2020,8.865,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,5.95,2020,11.158,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,0.78,2020,9.102,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,2.14,2020,1.817,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,1.1,2020,5.564,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,1.02,2020,8.848,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,2.33,2020,5.456,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,3.02,2020,2.868,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2.96,2020,13.889,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,4.76,2020,1.813,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,5.62,2020,2.136,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,6.08,2020,6.529,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,6.01,2020,7.327,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,6.07,2020,0.327,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,2.61,2020,0.244,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,7.95,2021,4.095,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,8.24,2021,2.470,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.56,2021,6.538,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,5.85,2021,3.595,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,4.62,2021,16.158,,,,,,,,,,,,,,,,,,,,,,,,,
