"【改制後】縣市重要統計指標自選項目
            ，依 指標、期間、縣市"
""
"","","垃圾焚化量(公噸)","垃圾衛生掩埋量(公噸)","執行機關資源回收量(公噸)","一般廢棄物產生量(公噸)","一般廢棄物回收率(%)","地方環保單位歲出決算數(千元)"
"","金門縣","7,316","1,069","17,181","30,520","75.11","502,966"
"","連江縣","2,234","-","4,313","9,349","78.22","117,284"
"2020","","","","","",""
"","總計","3,789,352","106,703","5,655,991","9,869,675","58.84","51,333,805"
"","臺灣地區","3,780,495","105,700","5,636,256","-","-","50,677,107"
"","新北市","530,031","6,820","874,191","1,538,164","65.10","8,659,241"
"","臺北市","225,475","-","495,277","781,781","71.16","7,399,821"
"","桃園市","407,996","1,246","734,366","1,258,474","61.03","5,820,612"
"","臺中市","496,727","62","578,525","1,131,384","57.20","5,517,202"
"","臺南市","368,755","1,970","549,139","981,281","62.22","3,470,086"
"","高雄市","625,485","5,310","761,442","1,423,421","55.68","4,617,343"
"","宜蘭縣","78,572","-","106,585","194,981","59.70","1,126,238"
"","新竹縣","76,991","60","136,285","241,352","60.24","1,144,378"
"","苗栗縣","94,320","749","114,211","225,505","57.84","1,278,310"
"","彰化縣","276,033","-","308,338","600,957","54.07","1,662,595"
"","南投縣","63,523","3,275","108,411","212,589","54.49","1,061,999"
"","雲林縣","50,156","23,521","126,792","248,506","56.34","1,259,554"
"","嘉義縣","72,294","-","112,498","197,386","63.37","873,213"
"","屏東縣","131,207","5","178,799","323,866","58.63","1,883,265"
"","臺東縣","3,872","34,167","55,560","99,518","60.93","918,151"
"","花蓮縣","32,067","22,616","80,345","148,013","58.72","787,113"
"","澎湖縣","21,543","47","22,167","51,808","51.74","549,158"
"","基隆市","95,298","-","110,021","211,900","55.03","881,960"
"","新竹市","75,908","5,852","111,214","205,287","60.17","968,825"
"","嘉義市","54,242","-","72,090","133,008","59.22","798,043"
"","金門縣","6,626","1,003","16,579","29,422","74.35","497,121"
"","連江縣","2,231","-","3,156","8,982","71.83","159,577"
"2021","","","","","",""
"","總計","3,502,084","247,014","6,048,304","10,049,062","61.19","51,388,144"
"","臺灣地區","3,493,443","246,001","6,029,347","-","-","50,730,959"
"","新北市","502,819","6,059","938,512","1,565,718","67.50","8,696,490"
"","臺北市","208,452","-","493,402","759,391","72.55","7,161,343"
"","桃園市","402,196","154,614","723,821","1,277,926","59.03","6,066,053"
"","臺中市","441,478","-","727,411","1,265,065","62.22","5,386,214"
"","臺南市","336,948","2,647","596,120","990,920","65.73","3,875,267"
"","高雄市","503,607","-","829,707","1,362,049","63.03","4,666,117"
"","宜蘭縣","77,188","-","105,109","191,698","59.73","1,056,793"
"","新竹縣","64,437","204","153,172","262,085","61.69","1,189,924"
"","苗栗縣","103,199","523","120,680","240,057","56.78","1,047,651"
"","彰化縣","270,336","-","315,019","601,838","55.08","1,730,217"
"","南投縣","43,675","61","108,827","211,857","54.47","974,352"
"","雲林縣","57,071","24,690","135,818","253,659","58.34","1,284,980"
"","嘉義縣","71,038","-","114,104","198,246","64.17","959,229"
"","屏東縣","140,855","30","193,712","341,499","59.03","1,619,148"
"","臺東縣","1,836","33,077","56,372","101,253","60.84","805,041"
"","花蓮縣","16,218","15,135","82,401","150,628","59.01","784,479"
"","澎湖縣","22,171","2","24,084","51,738","54.84","642,316"
"","基隆市","98,273","-","115,074","218,967","55.12","762,643"
"","新竹市","74,327","8,958","117,214","208,750","60.10","1,174,250"
"","嘉義市","57,317","-","78,789","141,736","59.56","848,452"
"","金門縣","6,044","1,013","16,091","28,042","74.24","528,016"
"","連江縣","2,596","-","2,866","7,378","67.81","129,169"
"2022","","","","","",""
"","總計","4,430,942","200,080","6,570,024","11,238,654","57.29","52,336,281"
"","臺灣地區","4,422,068","199,133","6,550,918","-","-","51,677,569"
"","新北市","918,432","5,781","1,045,847","2,079,410","55.55","8,651,057"
"","臺北市","208,756","-","508,105","768,277","72.83","7,208,682"
"","桃園市","423,747","137,450","771,527","1,336,424","61.15","6,121,860"
"","臺中市","642,231","-","931,875","1,625,470","61.09","5,669,633"
"","臺南市","395,534","-","591,184","1,044,655","62.14","3,316,336"
"","高雄市","594,604","-","902,038","1,538,597","61.35","4,672,428"
"","宜蘭縣","119,826","-","106,533","234,505","48.90","1,411,663"
"","新竹縣","52,812","379","166,354","279,398","62.02","1,204,068"
"","苗栗縣","111,100","5,084","125,511","256,417","54.69","1,072,116"
"","彰化縣","286,214","-","342,177","643,549","55.53","1,838,756"
"","南投縣","51,625","12","117,259","219,960","56.07","974,929"
"","雲林縣","98,517","25,655","140,682","283,298","53.46","1,416,785"
